time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
69.7152,0,0,0,732,68
69.8094,0,0,0,731,69
69.8584,0,0,0,730,70
70.1545,0,0,0,729,71
70.1665,0,0,0,728,72
70.2427,0,0,0,727,73
70.3161,0,0,0,726,74
70.5695,0,0,0,727,73
70.6052,0,0,0,726,74
70.7792,0,0,0,727,73
70.7824,0,0,0,726,74
70.9728,0,0,0,727,73
71.0022,0,0,0,726,74
71.0053,0,0,0,725,75
71.8197,0,0,0,726,74
71.9995,0,0,0,725,75
72.138,0,0,0,726,74
72.1561,0,0,0,727,73
72.3066,0,0,0,726,74
72.3648,0,0,0,725,75
72.4636,0,0,0,726,74
72.6355,0,0,0,725,75
72.7131,0,0,0,724,76
72.7706,0,0,0,725,75
73.0456,0,0,0,724,76
73.1504,0,0,0,725,75
73.1811,0,0,0,724,76
73.2371,0,0,0,725,75
73.4449,0,0,0,726,74
73.5192,0,0,0,725,75
73.6893,0,0,0,724,76
73.8632,0,0,0,723,77
73.8719,0,0,0,722,78
73.9089,0,0,0,723,77
73.9788,0,0,0,724,76
74.2213,0,0,0,725,75
74.4142,0,0,0,726,74
74.4872,0,0,0,727,73
74.9844,0,0,0,726,74
75.1704,0,0,0,725,75
75.1754,0,0,0,726,74
75.3821,0,0,0,725,75
75.4163,0,0,0,726,74
75.4851,0,0,0,727,73
75.5304,0,0,0,728,72
75.6263,0,0,0,727,73
76.0009,0,0,0,726,74
76.0642,0,0,0,725,75
76.0777,0,0,0,726,74
76.14,0,0,0,727,73
76.1775,0,0,0,726,74
76.4152,0,0,0,727,73
76.5185,0,0,0,726,74
76.6694,0,0,0,725,75
76.7203,0,0,0,724,76
76.8809,0,0,0,725,75
77.0419,0,0,0,726,74
77.054,0,0,0,727,73
77.1631,0,0,0,726,74
77.2005,0,0,0,725,75
77.2036,0,0,0,726,74
78.1656,0,0,0,727,73
78.3327,0,0,0,728,72
78.6641,0,0,0,727,73
78.9452,0,0,0,728,72
78.9775,0,0,0,729,71
79.0041,0,0,0,728,72
79.4154,0,0,0,729,71
79.4832,0,0,0,728,72
79.5338,0,0,0,727,73
79.5984,0,0,0,726,74
79.6898,0,0,0,727,73
79.6928,0,0,0,728,72
79.8454,0,0,0,727,73
80.2681,0,0,0,726,74
80.277,0,0,0,725,75
80.2927,0,0,0,726,74
80.3209,0,0,0,727,73
80.3313,0,0,0,728,72
80.3373,0,0,0,727,73
80.3456,0,0,0,726,74
80.4833,0,0,0,727,73
80.7062,0,0,0,726,74
80.7093,0,0,0,727,73
81.0963,0,0,0,726,74
81.1299,0,0,0,725,75
81.2913,0,0,0,724,76
81.5191,0,0,0,725,75
81.7043,0,0,0,724,76
82.1116,0,0,0,725,75
82.2069,0,0,0,726,74
82.3871,0,0,0,725,75
82.4551,0,0,0,726,74
82.5218,0,0,0,725,75
82.6012,0,0,0,724,76
82.846,0,0,0,725,75
83.0225,0,0,0,724,76
83.0602,0,0,0,723,77
83.1474,0,0,0,722,78
83.2913,0,0,0,721,79
83.3364,0,0,0,720,80
83.6819,0,0,0,719,81
83.7889,0,0,0,720,80
83.93,0,0,0,721,79
84.0439,0,0,0,722,78
84.0535,0,0,0,723,77
84.3479,0,0,0,722,78
84.3592,0,0,0,723,77
84.3845,0,0,0,722,78
84.8634,0,0,0,721,79
84.8887,0,0,0,720,80
85.1459,0,0,0,721,79
85.2648,0,0,0,722,78
85.3127,0,0,0,723,77
85.5601,0,0,0,722,78
85.796,0,0,0,723,77
85.8761,0,0,0,722,78
86.0544,0,0,0,723,77
86.1001,0,0,0,724,76
86.3111,0,0,0,725,75
86.3313,0,0,0,724,76
86.5205,0,0,0,725,75
86.8689,0,0,0,724,76
86.8977,0,0,0,725,75
87.0074,0,0,0,726,74
87.0268,0,0,0,727,73
87.1222,0,0,0,728,72
87.1875,0,0,0,729,71
87.437,0,0,0,728,72
87.5485,0,0,0,729,71
87.6959,0,0,0,730,70
87.7603,0,0,0,729,71
88.0965,0,0,0,728,72
88.14,0,0,0,727,73
88.312,0,0,0,726,74
88.4645,0,0,0,727,73
88.5092,0,0,0,726,74
88.5924,0,0,0,725,75
88.7426,0,0,0,726,74
88.9402,0,0,0,727,73
89.1947,0,0,0,728,72
89.2261,0,0,0,729,71
89.2691,0,0,0,728,72
89.3011,0,0,0,729,71
89.8214,0,0,0,728,72
89.8844,0,0,0,729,71
89.9073,0,0,0,728,72
90.0347,0,0,0,727,73
90.0501,0,0,0,726,74
90.1213,0,0,0,727,73
90.2109,0,0,0,726,74
90.2305,0,0,0,727,73
90.4326,0,0,0,728,72
90.7957,0,0,0,729,71
90.8128,0,0,0,728,72
91.1373,0,0,0,729,71
91.1426,0,0,0,728,72
91.2973,0,0,0,729,71
91.6289,0,0,0,730,70
92.1877,0,0,0,729,71
92.5663,0,0,0,730,70
92.5902,0,0,0,731,69
92.6519,0,0,0,730,70
92.9214,0,0,0,729,71
93.0448,0,0,0,728,72
93.1771,0,0,0,727,73
93.4907,0,0,0,728,72
93.6609,0,0,0,727,73
93.8669,0,0,0,728,72
94.0079,0,0,0,729,71
94.0612,0,0,0,728,72
94.2321,0,0,0,727,73
94.3124,0,0,0,728,72
94.4028,0,0,0,729,71
94.4765,0,0,0,730,70
94.828,0,0,0,729,71
94.9109,0,0,0,730,70
95.3778,0,0,0,731,69
95.4164,0,0,0,730,70
95.4334,0,0,0,731,69
95.7609,0,0,0,730,70
95.9142,0,0,0,729,71
96.0325,0,0,0,730,70
96.0739,0,0,0,731,69
96.1548,0,0,0,730,70
96.2122,0,0,0,729,71
96.4346,0,0,0,730,70
96.4475,0,0,0,729,71
96.4635,0,0,0,728,72
96.6276,0,0,0,729,71
96.6957,0,0,0,730,70
96.7123,0,0,0,731,69
96.7621,0,0,0,732,68
96.9764,0,0,0,731,69
97.1605,0,0,0,732,68
97.2715,0,0,0,733,67
97.2939,0,0,0,734,66
97.3504,0,0,0,735,65
97.4125,0,0,0,736,64
97.7212,0,0,0,735,65
98.2618,0,0,0,736,64
98.3424,0,0,0,735,65
98.661,0,0,0,736,64
98.7624,0,0,0,735,65
99.0841,0,0,0,734,66
99.1531,0,0,0,733,67
99.368,0,0,0,734,66
99.464,0,0,0,733,67
99.5069,0,0,0,734,66
99.5833,0,0,0,735,65
99.7011,0,0,0,734,66
99.8236,0,0,0,735,65
99.9758,0,0,0,736,64
100.173,0,0,0,737,63
100.418,0,0,0,738,62
100.459,0,0,0,739,61
100.523,0,0,0,740,60
