time_s,enterprise,event,freemium,mixed,premium
104.806025,3,finish,2,0,3
105.270463,3,finish,2,0,3
105.344816,3,start,2,0,3
105.55806,3,finish,2,0,3
105.606778,3,start,2,0,3
105.643326,3,finish,2,0,3
105.82503,3,start,2,0,3
105.896895,3,start,3,0,2
106.19878,3,finish,3,0,2
106.382757,3,start,3,0,2
106.487181,3,start,3,0,2
106.648287,3,start,3,0,2
106.914113,3,finish,3,0,2
107.027365,3,start,3,0,2
107.076927,3,start,3,0,2
107.463831,3,start,3,0,2
107.499792,3,start,3,0,2
107.536719,3,finish,3,0,2
107.728572,3,start,2,0,3
107.760403,3,finish,2,0,3
108.036436,3,start,3,0,2
108.526786,3,finish,3,0,2
108.668218,3,finish,3,0,2
108.807511,3,start,3,0,2
108.835067,3,finish,3,0,2
108.99566,3,finish,3,0,2
109.028536,3,finish,3,0,2
109.146862,3,start,3,0,2
109.303333,3,start,3,0,2
109.54469,3,finish,3,0,2
109.557576,3,finish,3,0,2
109.559881,3,finish,3,0,2
109.715764,3,start,3,0,2
109.834673,3,finish,3,0,2
109.902236,3,finish,3,0,2
109.977772,3,finish,3,0,2
110.208259,3,start,3,0,2
110.401343,3,start,3,0,2
110.701158,3,finish,3,0,2
110.74075,3,finish,3,0,2
110.75155,3,start,3,0,2
110.792624,3,finish,3,0,2
110.99025,3,start,3,0,2
111.037675,3,start,3,0,2
111.635431,3,finish,3,0,2
111.722769,3,start,2,0,3
111.764571,3,start,2,0,3
112.033128,3,start,2,0,3
112.170437,3,start,2,0,3
112.236774,3,finish,2,0,3
112.29733,3,start,2,0,3
112.45386,3,finish,2,0,3
112.498046,3,finish,2,0,3
112.759565,3,start,2,0,3
112.864372,2,start,3,0,3
112.895197,2,finish,3,0,3
112.904637,2,start,3,0,3
112.963811,2,finish,3,0,3
113.014752,2,finish,3,0,3
113.460757,2,finish,3,0,3
113.867283,2,finish,3,0,3
113.881636,2,finish,3,0,3
114.01838,2,start,3,0,3
114.064546,2,finish,3,0,3
114.30186,2,finish,3,0,3
114.383329,2,start,2,0,4
114.446824,2,finish,2,0,4
114.710503,2,start,2,0,4
114.820334,2,finish,2,0,4
115.273966,2,start,2,0,4
115.875134,2,start,2,0,4
115.98859,2,finish,2,0,4
116.335435,2,finish,2,0,4
116.567923,2,start,2,0,4
116.590828,2,start,2,0,4
116.621635,2,start,2,0,4
116.660488,2,finish,2,0,4
116.936253,2,finish,2,0,4
117.544145,2,finish,2,0,4
117.58264,2,start,2,0,4
117.864722,2,start,2,0,4
117.920873,2,start,2,0,4
118.145499,2,start,2,0,4
118.174408,2,start,2,0,4
118.262698,2,finish,2,0,4
118.626068,2,finish,2,0,4
118.671581,2,start,2,0,4
119.173275,2,start,2,0,4
119.176942,2,start,2,0,4
119.519329,2,finish,2,0,4
119.944357,2,start,2,0,4
119.950322,2,start,2,0,4
120.116684,2,finish,2,0,4
